Nome do jogo;Gênero;Desenvolvedora;Console;Data de conclusão;Tempo (em float);Ano de lançamento
Super Mario Bros.;Plataforma;Nintendo;Super Nintendo;10/01/2020;3;1985
Super Mario Bros. 2 (All Stars);Plataforma;Nintendo;Super Nintendo;;4;1993
Super Mario Bros. 3 (All Stars);Plataforma;Nintendo;Super Nintendo;;6;1993
Super Mario World;Plataforma;Nintendo;Super Nintendo;;5;1990
Donkey Kong Country;Plataforma;RARE ;Super Nintendo;;4;1994
Donkey Kong Country 2;Plataforma;RARE ;Super Nintendo;;5;1995
Donkey Kong Country 3;Plataforma;RARE ;Super Nintendo;;4,5;1996
Wild Guns;A��o;Natsume;Super Nintendo;;2;1994
Disney's Aladdin;Plataforma;Disney Interactive/Capcom;Super Nintendo;;3;1993
Disney's Magical Quest 3 starring Mickey & Donald;Plataforma;Capcom;Super Nintendo;;3;1995
F-Zero;Corrida;Nintendo;Super Nintendo;;3;1990
International Superstar Soccer Deluxe;Futebol;KONAMI;Super Nintendo;;9.5;1995
Street Fighter II;Luta;Capcom;Super Nintendo;;2;1992
Killer Instinct;Luta;RARE ;Super Nintendo;;1;1994
Super Bomberman;A��o;Hudson Soft;Super Nintendo;;3;1993
Super Bomberman 2;A��o;Hudson Soft;Super Nintendo;;3;1994
Sonic Advance ;Plataforma;SEGA;Gameboy Advanced;;3;2001
Sonic Advance 2;Plataforma;SEGA;Gameboy Advanced;;3,5;2002
Sonic Advance 3;Plataforma;SEGA;Gameboy Advanced;;4,5;2004
Mega Man Zero;A��o;Capcom;Gameboy Advanced;;4;2002
Mega Man Zero 2;A��o;Capcom;Gameboy Advanced;;3,5;2003
Mega Man Zero 3;A��o;Capcom;Gameboy Advanced;;3;2004
Mega Man Zero 4;A��o;Capcom;Gameboy Advanced;;3;2005
Crash Bandicoot: The Huge Adventure;Plataforma;Activision;Gameboy Advanced;;3;2002
Crash Bandicoot 2: N-Tranced;Plataforma;Activision;Gameboy Advanced;;4;2003
Dragon Ball Z: Supersonic Warriors;Luta;Bandai Games;Gameboy Advanced;;3;2004
Tekken Advance;Luta;Namco Bandai;Gameboy Advanced;;0,18;2001
Micro Machines ;Corrida;Codemasters;Sega MegaDrive;;3;1991
